epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,504.005,1.55713,0.94499,1.30503,0.74357,0.5,0.5587,0.3044,1.8156,1.19636,1.50858,0.0008516,0.0008516,0.0008516
60,510.229,1.60274,0.92131,1.34254,0.79409,0.52665,0.61122,0.32059,1.63739,1.16981,1.40804,0.0008318,0.0008318,0.0008318
61,516.875,1.62513,0.91742,1.37596,0.63758,0.63636,0.64648,0.32838,1.68951,1.15614,1.42832,0.000812,0.000812,0.000812
62,522.915,1.54057,0.86763,1.3434,0.85806,0.63636,0.65983,0.29492,1.93558,1.0637,1.60561,0.0007922,0.0007922,0.0007922
63,529.15,1.65973,0.91682,1.39098,0.75447,0.63636,0.632,0.30504,1.77385,1.1059,1.50755,0.0007724,0.0007724,0.0007724
64,535.182,1.53111,0.86204,1.26631,0.81985,0.62121,0.63743,0.33599,1.5915,1.04078,1.39167,0.0007526,0.0007526,0.0007526
65,541.529,1.4822,0.8922,1.27225,0.74728,0.63636,0.64682,0.35025,1.62343,1.21351,1.38813,0.0007328,0.0007328,0.0007328
66,548.043,1.48491,0.8215,1.26072,0.69577,0.54545,0.56903,0.25206,1.9339,1.47071,1.55374,0.000713,0.000713,0.000713
67,554.315,1.48716,0.80828,1.26084,0.6586,0.54545,0.5772,0.26104,1.94974,1.34418,1.57437,0.0006932,0.0006932,0.0006932
68,561.206,1.50511,0.82587,1.25709,0.76289,0.5853,0.62257,0.34219,1.79484,1.05255,1.46954,0.0006734,0.0006734,0.0006734
69,567.157,1.5076,0.8236,1.26732,0.73318,0.59091,0.63234,0.33463,1.75667,1.0594,1.42868,0.0006536,0.0006536,0.0006536
70,573.918,1.48099,0.83493,1.24597,0.8064,0.63636,0.67079,0.30455,1.80894,1.08149,1.39668,0.0006338,0.0006338,0.0006338
71,579.924,1.53112,0.77054,1.24492,0.78743,0.63636,0.68296,0.3139,1.82074,1.24379,1.39062,0.000614,0.000614,0.000614
72,586.479,1.49643,0.83271,1.27091,0.8634,0.57533,0.67437,0.31326,1.88001,1.27247,1.43775,0.0005942,0.0005942,0.0005942
73,592.515,1.47493,0.79209,1.2721,0.92629,0.572,0.67968,0.31897,1.94467,1.18052,1.48514,0.0005744,0.0005744,0.0005744
74,598.785,1.54839,0.80625,1.29867,1,0.62091,0.69817,0.30981,2.07875,1.04753,1.62862,0.0005546,0.0005546,0.0005546
75,607.442,1.50861,0.81693,1.3107,0.99995,0.63636,0.6993,0.31601,1.97552,0.98132,1.58274,0.0005348,0.0005348,0.0005348
76,613.823,1.44379,0.79447,1.28474,0.87209,0.62051,0.68306,0.33876,1.69205,0.99612,1.42782,0.000515,0.000515,0.000515
77,620.287,1.51076,0.74451,1.29667,0.70436,0.68182,0.6681,0.31308,1.70588,1.05899,1.41393,0.0004952,0.0004952,0.0004952
78,626.575,1.43465,0.73056,1.27834,0.7578,0.63636,0.65045,0.27201,1.85393,1.31176,1.4679,0.0004754,0.0004754,0.0004754
79,633.272,1.43334,0.74246,1.23574,0.75766,0.72727,0.68536,0.31474,1.84394,1.24627,1.46688,0.0004556,0.0004556,0.0004556
80,639.358,1.45197,0.75909,1.25759,0.76013,0.72049,0.70709,0.35852,1.72506,1.13415,1.42388,0.0004358,0.0004358,0.0004358
81,645.95,1.49647,0.8319,1.31664,0.78727,0.67327,0.69375,0.35898,1.71111,1.21309,1.40807,0.000416,0.000416,0.000416
82,652.173,1.47575,0.78899,1.29083,0.76747,0.63636,0.68245,0.33791,1.7633,1.24595,1.44783,0.0003962,0.0003962,0.0003962
83,658.516,1.48873,0.76371,1.28679,0.6993,0.68182,0.67118,0.32324,1.78759,1.2,1.46746,0.0003764,0.0003764,0.0003764
84,664.66,1.35998,0.71585,1.23466,0.71292,0.67746,0.67388,0.33925,1.72872,1.11262,1.43424,0.0003566,0.0003566,0.0003566
85,671.112,1.49009,0.76856,1.28131,0.86463,0.58118,0.69215,0.35681,1.69841,1.0874,1.40022,0.0003368,0.0003368,0.0003368
86,677.801,1.41177,0.76943,1.2675,0.98031,0.59091,0.71198,0.36356,1.7145,1.04656,1.39259,0.000317,0.000317,0.000317
87,683.947,1.34596,0.71246,1.23432,0.95013,0.59091,0.71345,0.37063,1.72071,0.97227,1.40451,0.0002972,0.0002972,0.0002972
88,690.933,1.38069,0.73184,1.20398,0.94194,0.59091,0.7146,0.36393,1.75884,0.99257,1.41194,0.0002774,0.0002774,0.0002774
89,697.057,1.28276,0.67199,1.22585,0.73814,0.68182,0.71304,0.38156,1.71513,0.98796,1.3878,0.0002576,0.0002576,0.0002576
